About Canva,"With Canva, anyone can create professional looking graphics and designs. Featuring thousands of templates and an easy to use editor.",Free 12 month subscription of Canva's Pro tier.,https://education.github.com/pack/redeem/canva-student,mailto:support+githubstudents@canva.com
About Namecheap,"Affordable registration, hosting, and domain management",1 year domain name registration on the .me TLD.,https://education.github.com/pack/redeem/namecheap-domain-student,https://www.namecheap.com/support.aspx
About Microsoft Azure,Access to Microsoft Azure cloud services and learning resources â no credit card required,Free access to 25+ Microsoft Azure cloud services plus $100 in Azure credit.,https://education.github.com/pack/redeem/microsoft-azure-student,https://azure.microsoft.com/en-us/support/options/
About JetBrains,"Professional desktop IDEs: IntelliJ IDEA, PyCharm, and more.","A free subscription for students, to be renewed annually.",https://www.jetbrains.com/student/?authMethod=github,mailto:sales@jetbrains.com
About Educative,"Level up on trending coding skills at your own pace with interactive, text-based courses.","Get 6 free months of 60+ courses covering in-demand topics like Web Development, Python, Java, and Machine Learning.",https://www.educative.io/github-students?utm_source=github-student-pack,mailto:github-students@educative.io
About Name.com,"Best-in-class domains, email, and hosting","1 free year domain registration, 1 free year Advanced Security (SSL, privacy protection, and more).",https://www.name.com/partner/github-students,https://www.name.com/support-ticket
About GitHub,"Powerful collaboration, code review, and code management",Free GitHub Pro while you are a student.,https://education.github.com/pack/redeem/github-student-pro,https://github.com/contact
About DigitalOcean,"Simple cloud hosting, built for developers",$100 in platform credit for new users.,https://cloud.digitalocean.com/github-student-pack?onboarding_origin=github-student-pack&amp;activation_redirect=/github-student-pack,https://www.digitalocean.com/company/contact/
About Bootstrap Studio,Bootstrap Studio is a powerful desktop app for creating responsive websites using the Bootstrap framework.,A free license for Bootstrap Studio while you are a student.,https://education.github.com/pack/redeem/bootstrapstudio-student,https://bootstrapstudio.io/contact-us
About Visual Studio Code,Microsoft's goal is to empower all students with the best resources and tools as they learn to code.,"These coding packs help you download everything you need to start coding in Java, Python, or .NET.",https://education.github.com/pack/redeem/vscode-student,https://visualstudio.microsoft.com/support/
About DataCamp,DataCamp helps companies and individuals make better use of data. Our users build data fluency while learning from the worldâs top data scientists.,Free 3-month individual subscription for students.,https://education.github.com/pack/redeem/datacamp-student,https://support.datacamp.com/hc/en-us
About GitHub Pages ,"Websites for you and your projects. Hosted directly from your GitHub repository. Just edit, push, and your changes are live.","get one site per GitHub account and organization, and unlimited project sites.",https://pages.github.com/,https://support.github.com/contact
About Microsoft Visual Studio Dev Essentials,"Free developer tools, cloud services and training from Microsoft.","Visual Studio Community, Visual Studio Community for Mac, access to Pluralsight training, 1 free year of Azure services with $200 credit for the 1st month and more.",https://education.github.com/pack/redeem/microsoftvisualstudio-student,https://visualstudio.microsoft.com/vs/support/#talktous
About .TECH,A powerful domain extension to convey that you belong to the technology industry.,One standard .TECH domain free for 1 year and 2 free email accounts with 100 MB free storage,https://education.github.com/pack/redeem/tech-student,mailto:techsquad@get.tech
About GitLens,GitLens is the #1 Git extension for VS Code; it unlocks the knowledge within your Git repos to help visualize code authorship by leveraging CodeLens and Git blame. GitLens provides auto-linking and rich hover information for GitHub pull requests and issues. ,Free GitLens+ Pro while you are a student.,https://education.github.com/pack/redeem/gitlens-student,https://support.gitkraken.com/
About FrontendMasters,"Advance your skills with in-depth JavaScript, Node.js & front-end engineering courses.",Free 6-months access to all courses and workshops.,https://education.github.com/pack/redeem/frontendmasters-student,mailto:support@frontendmasters.com
About Termius,SSH client that works on desktop and mobile. Termius securely syncs data across all your devices.,Free access to the Premium plan while you're a student.,https://education.github.com/pack/redeem/termius-student,mailto:education@termius.com
About Polypane,A powerful browser and developer tool that lets developers and designers make better websites and web apps in less time.,Polypane free for 1 year.,https://education.github.com/pack/redeem/polypane-student,https://polypane.app/support
About Iconscout,"Iconscout is design resources marketplace to get high quality icons, illustrations and stock images.",Download 60 premium icons per month for 1 year.,https://education.github.com/pack/redeem/iconscout-student,mailto:support@iconscout.com
About DeepSource,Static analysis platform to help you write good code.,Free to use for students enrolled in GitHub Education pack.,https://education.github.com/pack/redeem/deepsource-student,mailto:support@deepsource.io
About OneMonth,"Learn HTML, CSS, JavaScript and Python in just 30 days!",Free 30-day One Month subscription.,https://education.github.com/pack/redeem/onemonth-student,mailto:teachers@onemonth.com
About PomoDone,"With PomoDone, hack and track your time and boost your productivity by applying Pomodoro technique to your workflow -- eliminate distraction, sharpen focus and prevent burnout.",PomoDone Lite plan free for 2-years.,https://education.github.com/pack/redeem/pomodone-student,mailto:edu.support@pomodoneapp.com
About Testmail,Get unlimited email addresses and mailboxes for automating email tests with our powerful APIs.,Free Essential plan while you're a student.,https://education.github.com/pack/redeem/testmail-student,mailto:support@testmail.app
About Github Campus Experts,"GitHub Campus Experts are students who build technical communities on campus, with training and support from GitHub.",Apply to become part of the program while youâre a student.,https://education.github.com/pack/redeem/github-campus-experts,https://support.github.com/contact
About StreamYard,The easiest way to create professional live streams.,Free access to the Essential Plan while you are a student.,https://education.github.com/pack/redeem/streamyard-student,mailto:contact@streamyard.com
About MongoDB,"A general purpose, document-based, distributed database built for modern application developers and for the cloud era.","$50 in MongoDB Atlas Credits, plus access to MongoDB Compass and MongoDB University including free certification valued at $150.",https://www.mongodb.com/students/,https://community.mongodb.com/c/42
About GitKraken,"GitKraken Client is the most popular Git client for Windows, Mac & Linux, offering both a GUI and terminal interface. Deep integration with GitHub repos and issues  enable interactive pull request management and issue management directly in the client. ",Free GitKraken Client Pro ($59 value) while youâre a student. ,https://education.github.com/pack/redeem/gitkraken-student,https://support.gitkraken.com/
About Covalence,Join an exclusive developer community and learn Full Stack web-development with no long-term commitments.,Complimentary Front End Fundamentals Course.,https://education.github.com/pack/redeem/covalence-student,https://education.github.com/pack/support@covalence.io
About InterviewCake,"Interview Cake makes coding interviews a piece of cake with practice questions, data structures and algorithms reference pages, cheat sheets, and more.",Access to the full coding interview prep course for 3 weeks.,https://education.github.com/pack/redeem/interviewcake-student,mailto:yourfriends@interviewcake.com
About Atom,A hackable text editor for the 21st Century,"Open Source by GitHub, free for everyone.",https://education.github.com/pack/redeem/atom-student,https://atom.io/contact
About Icons8,"Icons8 provides design resources: icons, UI illustrations, photos and software to class up your projects.","3-month All Access subscription with icons, photos, illustrations, and music.",https://education.github.com/pack/redeem/icons8-student,https://icons8.com/contact
